"","speaker","begin","end"
"1","INV","0","1660"
"2","INV","1660","3030"
"3","PAR","3030","3372"
"4","PAR","3372","4318"
"5","PAR","4318","5700"
"6","PAR","5700","12148"
"7","PAR","12148","15651"
"8","PAR","15651","19600"
"9","PAR","19600","20696"
"10","INV","20696","21311"
"11","PAR","21311","22078"
"12","PAR","22078","22542"
"13","PAR","22542","23000"
"14","PAR","23000","27000"
"15","PAR","27000","29912"
"16","PAR","29912","33007"
"17","INV","32007","32996"
"18","PAR","33007","35386"
"19","PAR","35386","37177"
"20","PAR","37177","42593"
"21","PAR","42593","46464"
"22","PAR","46464","47834"
"23","PAR","47834","48741"
"24","PAR","48741","49862"
"25","INV","49862","50051"
"26","PAR","50051","50966"
"27","PAR","50966","58328"
"28","PAR","58328","61794"
"29","PAR","61794","64305"
"30","PAR","64305","70079"
"31","PAR","70079","78250"
"32","INV","77906","79292"
"33","INV","79292","80988"
"34","PAR","80988","85019"
"35","PAR","85019","89611"
"36","PAR","89611","99000"
"37","PAR","99000","100099"
"38","INV","100099","101000"
"39","PAR","101000","101789"
"40","PAR","101789","102869"
"41","PAR","102869","103728"
"42","INV","103228","104179"
"43","PAR","104179","108196"
"44","PAR","108196","110996"
"45","PAR","110996","115961"
"46","PAR","115961","121097"
"47","INV","121097","121484"
"48","PAR","121484","122763"
"49","PAR","122763","123793"
"50","PAR","123793","125066"
"51","PAR","125066","126436"
"52","PAR","126436","131946"
"53","INV","131946","134837"
"54","PAR","134837","136323"
"55","PAR","136323","139027"
"56","PAR","139027","141700"
"57","PAR","141700","142477"
"58","INV","142477","152310"
