"","speaker","begin","end"
"1","INV","0","4000"
"2","INV","4000","5526"
"3","PAR","5526","6211"
"4","PAR","6211","7488"
"5","PAR","7488","8359"
"6","PAR","8359","9138"
"7","PAR","9138","12111"
"8","PAR","12111","14277"
"9","PAR","14277","15427"
"10","PAR","15427","19271"
"11","PAR","19271","23738"
"12","PAR","23738","28533"
"13","PAR","28533","29808"
"14","PAR","29808","30898"
"15","PAR","30898","33039"
"16","PAR","33039","34222"
"17","PAR","34222","42662"
"18","PAR","42662","44541"
"19","PAR","44541","53756"
"20","PAR","53756","58720"
"21","PAR","58720","62330"
"22","PAR","62330","64043"
"23","INV","64043","65787"
"24","INV","65787","67390"
"25","INV","67390","69259"
"26","PAR","69259","71700"
"27","PAR","71700","72994"
"28","PAR","72994","74566"
"29","PAR","74566","81084"
"30","PAR","81084","93490"
"31","PAR","93490","95780"
"32","PAR","95780","96802"
"33","PAR","96802","98440"
"34","INV","98440","99017"
"35","PAR","99017","104791"
"36","PAR","104791","108308"
"37","PAR","108308","114113"
"38","PAR","114113","126086"
"39","INV","126086","127032"
