"","speaker","begin","end"
"1","INV","0","2218"
"2","PAR","2218","3576"
"3","PAR","3576","6429"
"4","PAR","6429","7834"
"5","PAR","7834","11234"
"6","PAR","11234","12604"
"7","INV","12604","13417"
"8","PAR","13417","16638"
"9","PAR","16638","19797"
"10","PAR","19797","22615"
"11","PAR","22615","40356"
"12","PAR","40356","41310"
"13","INV","41310","41751"
"14","PAR","41751","42800"
"15","PAR","42800","44028"
"16","INV","43800","45197"
"17","PAR","44089","44960"
"18","PAR","44960","45587"
"19","PAR","45587","56663"
"20","PAR","56663","59798"
"21","INV","59798","60796"
"22","PAR","60796","64927"
"23","INV","64927","66020"
"24","INV","66020","68226"
"25","INV","68226","69213"
"26","PAR","69213","74402"
"27","PAR","74402","76143"
"28","INV","76143","77604"
"29","INV","77604","78686"
"30","PAR","78000","78639"
"31","INV","78686","79708"
"32","PAR","79708","86019"
"33","PAR","86019","88820"
"34","PAR","88820","96010"
"35","INV","96010","98553"
"36","PAR","98553","103243"
"37","PAR","103243","107000"
"38","PAR","107000","108586"
"39","PAR","108586","113834"
"40","PAR","113834","115389"
"41","PAR","115389","120985"
"42","PAR","120985","123052"
"43","PAR","123052","127917"
"44","PAR","127917","133893"
"45","INV","133509","134943"
