"","speaker","begin","end"
"1","INV","0","2165"
"2","PAR","2165","3597"
"3","PAR","3597","4156"
"4","PAR","4156","4670"
"5","PAR","4670","5276"
"6","PAR","5276","8405"
"7","PAR","8405","9480"
"8","PAR","9480","13090"
"9","PAR","13090","13432"
"10","PAR","13432","14754"
"11","PAR","14754","22303"
"12","PAR","22303","23563"
"13","PAR","23563","32778"
"14","PAR","32778","34350"
"15","PAR","34350","36076"
"16","PAR","36076","44200"
"17","INV","44200","57835"
"18","PAR","57835","60449"
"19","PAR","60449","63500"
"20","INV","63500","64153"
