"","speaker","begin","end"
"1","INV","0","1500"
"2","PAR","1500","1800"
"3","INV","1800","2752"
"4","INV","2752","8514"
"5","INV","8514","12747"
"6","INV","12747","18568"
"7","INV","18568","20999"
"8","PAR","20999","22432"
"9","INV","22032","22392"
"10","PAR","22200","22897"
"11","PAR","22897","23489"
"12","INV","22897","23489"
"13","INV","23505","24480"
"14","PAR","23705","24480"
"15","INV","24480","25687"
"16","PAR","25687","27224"
"17","PAR","27224","28003"
"18","PAR","28003","29907"
"19","PAR","29907","31393"
"20","PAR","31393","44088"
"21","INV","44088","46483"
"22","INV","46485","50083"
"23","INV","50083","51986"
"24","PAR","51986","52285"
"25","INV","52285","54971"
"26","PAR","54971","56852"
"27","INV","56852","57805"
"28","PAR","57005","58646"
"29","INV","58146","59859"
"30","PAR","59059","59511"
"31","INV","59511","60600"
"32","PAR","60600","63087"
"33","PAR","63000","65301"
"34","INV","64022","67500"
"35","INV","67500","69188"
"36","PAR","69188","71664"
"37","PAR","71664","72738"
"38","PAR","72738","74217"
"39","PAR","74217","77119"
"40","PAR","77119","83533"
"41","PAR","83533","84392"
"42","PAR","84392","85228"
"43","INV","84525","86030"
"44","INV","86030","86970"
"45","INV","86970","88631"
"46","INV","88631","89908"
"47","PAR","89908","92223"
"48","PAR","92223","93872"
"49","PAR","93872","99444"
"50","PAR","99444","99781"
"51","PAR","99781","104204"
"52","INV","104204","106654"
"53","INV","106654","112250"
"54","PAR","112250","114400"
"55","INV","114400","117189"
"56","INV","117189","119990"
"57","PAR","119990","126107"
"58","INV","126107","128060"
"59","PAR","127445","128060"
"60","INV","128060","128629"
"61","INV","128629","130823"
"62","INV","130823","133888"
"63","PAR","133888","136918"
"64","INV","135800","137859"
"65","PAR","137859","139809"
"66","INV","139809","144766"
"67","INV","144766","150757"
"68","PAR","150457","151186"
"69","INV","151186","152424"
"70","INV","152424","153622"
