"","speaker","begin","end"
"1","INV","0","3760"
"2","PAR","3760","5514"
"3","PAR","5514","6419"
"4","PAR","6419","7339"
"5","PAR","7339","8298"
"6","PAR","8298","9390"
"7","PAR","9390","17784"
"8","PAR","17784","20400"
"9","PAR","20400","21877"
"10","PAR","21877","23843"
"11","PAR","23843","25675"
"12","PAR","25675","33787"
"13","PAR","33787","37491"
"14","PAR","37491","39098"
"15","PAR","39098","50087"
"16","INV","50087","64875"
"17","PAR","64875","66700"
"18","PAR","66700","68073"
"19","PAR","68073","70264"
"20","PAR","70264","77767"
"21","PAR","77767","82876"
"22","PAR","82876","85816"
"23","PAR","85816","87345"
"24","PAR","87345","96595"
"25","PAR","96595","98381"
"26","PAR","98381","99941"
"27","PAR","99941","102179"
"28","PAR","102179","103739"
"29","PAR","103739","106226"
"30","PAR","106226","108254"
"31","PAR","108254","115025"
"32","PAR","115025","116819"
"33","PAR","116819","118635"
"34","PAR","118635","120476"
"35","PAR","120476","122504"
"36","INV","122504","125990"
"37","INV","125990","126614"
