"","speaker","begin","end"
"1","INV","0","4935"
"2","PAR","4935","6086"
"3","PAR","6086","7051"
"4","PAR","7051","9028"
"5","PAR","9028","15642"
"6","PAR","15642","19955"
"7","PAR","19955","24187"
"8","PAR","24187","27066"
"9","PAR","27066","36544"
"10","PAR","36544","38677"
"11","PAR","38677","46101"
"12","PAR","46101","49290"
"13","PAR","49290","52200"
"14","PAR","52200","55982"
"15","PAR","55982","58285"
"16","PAR","58285","63189"
"17","INV","63189","65616"
"18","INV","67332","72747"
"19","INV","72747","78677"
"20","INV","78677","81027"
"21","INV","81027","85231"
"22","INV","85231","86148"
"23","PAR","86148","87394"
"24","INV","87394","91114"
"25","PAR","89293","90086"
"26","INV","91114","95000"
"27","PAR","93854","94162"
"28","PAR","95000","95762"
"29","INV","95287","97468"
"30","PAR","97468","99178"
"31","PAR","99178","102182"
"32","PAR","102182","104968"
"33","PAR","104968","108502"
"34","PAR","108502","111800"
"35","PAR","111800","116984"
"36","PAR","116984","122461"
"37","PAR","122461","128174"
"38","PAR","128174","140247"
"39","PAR","140247","147142"
"40","PAR","147142","150769"
"41","PAR","150769","154241"
"42","INV","154241","156747"
"43","INV","156747","176747"
