"","speaker","begin","end"
"1","INV","0","2763"
"2","PAR","2763","6293"
"3","PAR","6293","7860"
"4","PAR","7860","9706"
"5","PAR","9706","17510"
"6","PAR","17510","18831"
"7","PAR","18831","48000"
"8","INV","48000","55751"
"9","PAR","55751","60534"
"10","INV","60534","61672"
"11","INV","61672","69787"
"12","PAR","69787","72072"
"13","INV","72072","72724"
"14","PAR","72724","75812"
"15","PAR","75812","78680"
"16","PAR","78680","81304"
"17","PAR","81304","83661"
"18","PAR","83661","89082"
"19","PAR","89082","95689"
"20","PAR","95689","97767"
"21","PAR","97767","101575"
"22","PAR","101575","107542"
"23","PAR","107542","110003"
"24","PAR","110003","113498"
"25","PAR","113498","135419"
"26","INV","135419","136637"
