"","speaker","begin","end"
"1","INV","0","2400"
"2","PAR","2400","2885"
"3","PAR","2876","3350"
"4","PAR","3350","3999"
"5","PAR","3999","6500"
"6","PAR","6500","6874"
"7","PAR","6874","9535"
"8","PAR","9535","11745"
"9","PAR","11745","14595"
"10","PAR","14595","17613"
"11","PAR","17613","22407"
"12","PAR","22407","24632"
"13","PAR","24632","30826"
"14","PAR","30826","32893"
"15","INV","32893","34918"
"16","PAR","34918","41065"
"17","PAR","41065","44428"
"18","PAR","44428","51399"
"19","PAR","51399","56738"
"20","PAR","56738","60395"
"21","INV","60395","63800"
"22","PAR","62000","63600"
"23","INV","63800","65000"
"24","PAR","63800","65000"
"25","INV","65000","68301"
"26","INV","68301","73550"
"27","PAR","72600","73550"
"28","INV","73600","77000"
"29","PAR","73601","75000"
"30","INV","77000","80557"
"31","PAR","77001","77500"
"32","INV","80557","81800"
"33","INV","81800","85499"
"34","PAR","85000","85498"
"35","INV","85499","86938"
"36","PAR","85900","86936"
"37","INV","86936","88000"
"38","INV","88000","90120"
"39","INV","90127","91637"
"40","INV","91637","94143"
"41","PAR","93000","94145"
"42","INV","94145","95733"
"43","PAR","95733","95936"
"44","INV","95936","99800"
"45","PAR","99000","99799"
"46","INV","99800","101850"
"47","PAR","101850","103095"
"48","PAR","103095","103779"
"49","PAR","103779","104511"
"50","PAR","104511","105273"
"51","PAR","105273","108542"
"52","PAR","108542","110099"
"53","PAR","110099","112916"
"54","PAR","112916","117102"
"55","PAR","117102","120550"
"56","PAR","120550","122025"
"57","PAR","122025","125645"
"58","PAR","125645","129958"
"59","PAR","129958","131731"
"60","INV","131731","132728"
"61","PAR","132728","134454"
"62","PAR","134454","135870"
"63","INV","135870","136882"
"64","PAR","136882","141037"
"65","PAR","141037","149084"
"66","INV","149084","162000"
"67","INV","162000","167000"
