"","speaker","begin","end"
"1","PAR","2000","3697"
"2","INV","3697","6234"
"3","PAR","6234","7323"
"4","PAR","7323","8573"
"5","PAR","8573","9799"
"6","PAR","9799","23600"
"7","PAR","23600","25532"
"8","PAR","25532","29284"
"9","PAR","29284","41080"
"10","PAR","41080","59000"
"11","PAR","59000","61067"
"12","PAR","61067","61879"
"13","PAR","61879","66666"
"14","INV","66666","69500"
"15","PAR","69300","70837"
"16","PAR","70837","75818"
"17","PAR","75818","96263"
"18","PAR","96263","113643"
"19","PAR","113643","115860"
"20","INV","115860","117857"
"21","PAR","117857","118519"
"22","PAR","118519","121340"
"23","PAR","121340","122977"
"24","PAR","122977","126228"
"25","INV","126228","150000"
