"","speaker","begin","end"
"1","PAR","0","2129"
"2","PAR","2129","10504"
"3","PAR","10504","11787"
"4","PAR","11787","23473"
"5","PAR","23473","33090"
"6","PAR","33090","43441"
"7","PAR","43441","47738"
"8","PAR","47738","64359"
"9","PAR","64359","73325"
"10","PAR","73325","81654"
"11","PAR","81654","89321"
"12","PAR","89321","94578"
"13","PAR","94578","99795"
"14","PAR","99795","109395"
"15","PAR","109395","116416"
"16","PAR","116416","139045"
"17","PAR","139045","142034"
"18","INV","142034","143181"
"19","PAR","143181","147204"
