"","speaker","begin","end"
"1","INV","0","2459"
"2","INV","2459","4717"
"3","PAR","4717","9587"
"4","PAR","9587","11769"
"5","PAR","11769","14945"
"6","PAR","14945","16936"
"7","PAR","16936","22116"
"8","PAR","22116","24714"
"9","PAR","24714","25758"
"10","PAR","25758","27580"
"11","PAR","27580","30287"
"12","PAR","30287","38193"
"13","PAR","38193","44139"
"14","PAR","44139","50131"
"15","PAR","50131","52144"
"16","INV","52144","52775"
"17","PAR","52775","53776"
"18","INV","53776","54707"
"19","INV","54707","56170"
