"","speaker","begin","end"
"1","INV","0","2644"
"2","PAR","2644","4190"
"3","PAR","4190","10059"
"4","PAR","10059","13616"
"5","PAR","13616","15629"
"6","PAR","15629","16908"
"7","PAR","16908","18371"
"8","PAR","18371","28900"
"9","PAR","28900","33222"
"10","PAR","33222","35416"
"11","PAR","35416","37062"
"12","PAR","37062","41368"
"13","PAR","41368","44260"
"14","PAR","44260","50295"
"15","PAR","50295","54767"
"16","PAR","54767","58005"
"17","PAR","58005","60210"
"18","PAR","60210","61835"
"19","INV","61835","64326"
