"","speaker","begin","end"
"1","PAR","0","2560"
"2","PAR","2560","4439"
"3","PAR","4439","5333"
"4","PAR","5333","8965"
"5","PAR","8965","11393"
"6","PAR","11393","13588"
"7","PAR","13588","16189"
"8","PAR","16089","22366"
"9","PAR","22366","24160"
"10","PAR","24160","26165"
"11","PAR","26165","35673"
"12","PAR","35673","38533"
"13","PAR","38533","41459"
"14","PAR","41459","44867"
"15","PAR","44867","48046"
"16","PAR","48046","53804"
"17","PAR","53804","62815"
"18","PAR","62815","64557"
"19","PAR","64557","73256"
"20","PAR","73256","76913"
"21","PAR","76913","80700"
"22","PAR","80700","84354"
"23","PAR","84353","88558"
"24","PAR","88558","89000"
"25","INV","89000","90278"
"26","PAR","90278","94633"
"27","PAR","94633","1e+05"
