"","speaker","begin","end"
"1","INV","0","2377"
"2","PAR","2377","5120"
"3","PAR","5120","15661"
"4","PAR","15661","20964"
"5","PAR","20964","23200"
"6","PAR","23200","25011"
"7","PAR","25011","30681"
"8","PAR","30681","35518"
"9","PAR","35518","37633"
"10","PAR","37633","41944"
"11","PAR","41944","49819"
"12","INV","49819","52092"
"13","PAR","51002","55574"
"14","PAR","55574","58583"
"15","PAR","58583","65166"
"16","PAR","65166","73941"
"17","PAR","73941","77881"
"18","PAR","77881","85911"
"19","PAR","85911","89521"
"20","PAR","89521","97750"
"21","INV","97750","103602"
"22","PAR","103602","104700"
"23","INV","104700","105982"
