"","speaker","begin","end"
"1","INV","0","6352"
"2","PAR","6352","15800"
"3","PAR","15800","22973"
"4","PAR","22973","31519"
"5","PAR","31519","35020"
"6","PAR","35020","41881"
"7","PAR","41881","51703"
"8","PAR","51703","57880"
"9","PAR","57880","64100"
"10","PAR","64100","66395"
"11","PAR","66395","68900"
"12","PAR","68900","71777"
"13","PAR","71777","74113"
"14","PAR","74113","77992"
"15","PAR","77992","82007"
"16","PAR","82007","85257"
"17","INV","85257","87545"
"18","PAR","87545","88714"
"19","INV","88714","88917"
