"","speaker","begin","end"
"1","INV","0","2600"
"2","PAR","2600","6120"
"3","PAR","6120","9978"
"4","PAR","9978","12810"
"5","PAR","12810","17652"
"6","PAR","17652","19477"
"7","PAR","19477","21937"
"8","PAR","21937","25962"
"9","PAR","25962","27309"
"10","PAR","27309","28141"
"11","PAR","28141","31150"
"12","PAR","31150","38000"
"13","PAR","38000","40576"
"14","PAR","40576","42647"
"15","PAR","42647","47439"
"16","PAR","47439","50596"
"17","PAR","50596","58068"
"18","INV","58068","59937"
"19","PAR","59937","61150"
"20","PAR","61150","65538"
"21","PAR","65538","67049"
"22","PAR","67049","73320"
"23","INV","73320","74751"
"24","INV","74751","79551"
