"","speaker","begin","end"
"1","INV","0","1646"
"2","INV","1646","4204"
"3","PAR","4204","5495"
"4","PAR","5495","8486"
"5","INV","8486","9015"
"6","PAR","9015","12422"
"7","PAR","12375","19299"
"8","PAR","19299","25868"
"9","PAR","25868","35705"
"10","PAR","35705","40094"
"11","PAR","40094","47409"
"12","PAR","47409","48872"
"13","PAR","48934","54179"
"14","PAR","54861","63891"
"15","INV","63891","65821"
"16","PAR","65415","68242"
"17","PAR","68242","69305"
"18","PAR","69305","70535"
"19","INV","69900","70500"
"20","PAR","70535","71267"
