"","speaker","begin","end"
"1","INV","0","4530"
"2","INV","4530","6645"
"3","PAR","6645","11998"
"4","PAR","11998","14242"
"5","INV","14242","15000"
"6","PAR","15000","15897"
"7","INV","15250","17200"
"8","PAR","17200","17947"
"9","PAR","17947","26056"
"10","PAR","26056","27490"
"11","PAR","27490","30623"
"12","INV","30323","32286"
"13","PAR","31448","32312"
"14","INV","32312","32892"
"15","PAR","32412","32892"
"16","PAR","32892","35192"
"17","PAR","35192","38075"
"18","PAR","38075","41664"
"19","PAR","41664","45428"
"20","PAR","45428","47221"
"21","PAR","47221","55115"
"22","PAR","55115","58819"
"23","PAR","58819","68775"
"24","INV","68775","69945"
"25","INV","69945","71607"
