"","speaker","begin","end"
"1","INV","0","1350"
"2","PAR","1350","2646"
"3","PAR","2646","12853"
"4","INV","12853","14088"
"5","PAR","13300","14885"
"6","INV","14585","16848"
"7","PAR","16848","18083"
"8","INV","18083","19849"
"9","PAR","19249","23735"
"10","PAR","23922","28610"
"11","PAR","28610","35251"
"12","PAR","35251","45600"
"13","PAR","45600","47798"
"14","PAR","47798","51474"
"15","PAR","51474","55196"
"16","PAR","55196","56741"
"17","PAR","56741","68450"
"18","PAR","68450","77521"
"19","PAR","77521","81197"
"20","INV","81197","82044"
