"","speaker","begin","end"
"1","INV","0","6430"
"2","PAR","6430","8400"
"3","INV","8400","9231"
"4","PAR","9231","16165"
"5","PAR","16165","20105"
"6","PAR","20105","23480"
"7","PAR","23480","27487"
"8","PAR","27487","30596"
"9","PAR","30596","36199"
"10","PAR","36199","38888"
"11","PAR","38888","41037"
"12","PAR","41037","46340"
"13","PAR","46340","48900"
"14","PAR","48900","49899"
"15","PAR","49899","57888"
"16","PAR","57888","63374"
"17","PAR","63374","65953"
"18","PAR","65953","70142"
"19","PAR","70142","72336"
"20","PAR","72336","77823"
"21","PAR","77823","79020"
"22","PAR","79020","80947"
