"","speaker","begin","end"
"1","PAR","3836","4702"
"2","PAR","12453","14008"
"3","PAR","14008","15775"
"4","PAR","16369","16702"
"5","PAR","17485","17788"
"6","PAR","21345","22114"
"7","PAR","24031","27673"
"8","PAR","27673","33607"
"9","PAR","33607","39066"
"10","PAR","39066","42330"
"11","PAR","42330","44072"
"12","PAR","44072","46210"
"13","PAR","46210","48610"
"14","PAR","48610","51518"
"15","PAR","51518","58586"
"16","PAR","58586","62358"
"17","PAR","62358","63108"
"18","PAR","63108","64601"
"19","PAR","64601","67950"
"20","PAR","67950","69662"
"21","PAR","70100","71951"
