"","speaker","begin","end"
"1","INV","0","2585"
"2","INV","2585","4353"
"3","PAR","3353","4700"
"4","PAR","4700","5203"
"5","INV","5203","6109"
"6","PAR","6109","7431"
"7","PAR","7505","11194"
"8","INV","10294","11885"
"9","PAR","11632","15805"
"10","PAR","15805","18731"
"11","PAR","18571","22306"
"12","PAR","22306","28533"
"13","PAR","28440","33800"
"14","INV","33000","33519"
"15","PAR","33800","34035"
"16","PAR","34035","36179"
"17","PAR","36179","37405"
"18","PAR","37205","38993"
"19","INV","38993","39958"
"20","PAR","39958","42152"
"21","INV","40558","41200"
"22","PAR","42152","46504"
"23","INV","43216","44504"
