"","speaker","begin","end"
"1","INV","0","1231"
"2","INV","1231","4389"
"3","PAR","4389","8800"
"4","INV","8800","10100"
"5","PAR","10100","16650"
"6","PAR","16650","18339"
"7","PAR","18339","24800"
"8","PAR","24800","36600"
"9","PAR","36600","38600"
"10","INV","38600","49000"
"11","PAR","49000","53413"
"12","PAR","53413","58130"
"13","PAR","58130","69700"
"14","INV","69700","71100"
"15","INV","71100","73000"
"16","PAR","73000","73450"
"17","INV","73450","75200"
"18","INV","75300","77200"
"19","PAR","77300","87200"
"20","PAR","87300","93000"
"21","PAR","93000","104500"
"22","INV","104500","110400"
"23","PAR","110400","112413"
"24","INV","112413","113426"
