"","speaker","begin","end"
"1","INV","0","1200"
"2","PAR","1200","1800"
"3","INV","1800","4100"
"4","PAR","4100","9000"
"5","INV","9000","10097"
"6","PAR","10097","14770"
"7","PAR","14770","16084"
"8","PAR","16084","25879"
"9","PAR","25879","28140"
"10","PAR","28140","37414"
"11","PAR","37414","42600"
"12","INV","42600","45445"
"13","PAR","45445","46250"
"14","INV","46250","46800"
"15","PAR","46800","50941"
"16","INV","50941","52419"
"17","INV","52419","56813"
"18","INV","56813","58602"
"19","PAR","58602","64417"
"20","INV","64417","65554"
"21","PAR","65554","68511"
"22","INV","68511","75701"
