"","speaker","begin","end"
"1","INV","0","1785"
"2","PAR","1785","4252"
"3","PAR","4252","5992"
"4","PAR","5992","7299"
"5","PAR","7299","9789"
"6","PAR","9789","11833"
"7","PAR","11833","14792"
"8","PAR","14792","18489"
"9","INV","18489","23619"
"10","INV","23619","25000"
"11","PAR","25000","28099"
"12","PAR","28099","29919"
"13","PAR","29919","31766"
"14","PAR","31766","34069"
"15","PAR","34069","35516"
"16","PAR","35516","37479"
"17","INV","37479","38210"
"18","PAR","38210","38958"
"19","PAR","38552","40000"
