"","speaker","begin","end"
"1","INV","0","2913"
"2","PAR","2913","14570"
"3","PAR","14570","29556"
"4","PAR","29556","42535"
"5","PAR","42535","50000"
"6","PAR","50000","60730"
"7","PAR","60730","69834"
"8","PAR","69834","73991"
"9","PAR","73991","78945"
"10","PAR","78945","94206"
"11","PAR","94206","96400"
"12","PAR","96400","99623"
"13","INV","99623","100512"
"14","INV","100512","101677"
"15","PAR","100800","109039"
"16","INV","109039","109614"
"17","PAR","109614","118000"
"18","PAR","118000","119723"
"19","PAR","119723","123300"
"20","PAR","123300","134750"
"21","INV","134750","135247"
"22","PAR","135247","137923"
"23","INV","136600","137335"
"24","INV","137923","138611"
"25","PAR","138611","140552"
"26","INV","140552","141284"
"27","PAR","141284","143199"
"28","INV","143199","146497"
"29","PAR","144800","178568"
"30","INV","177555","179568"
"31","PAR","178568","182755"
"32","INV","181900","182355"
"33","INV","182755","186900"
"34","INV","186900","188318"
"35","PAR","187518","189594"
"36","INV","188400","189282"
"37","INV","189594","190561"
