"","speaker","begin","end"
"1","INV","0","4392"
"2","INV","4392","6789"
"3","PAR","6789","8158"
"4","INV","8158","8922"
"5","PAR","8922","16603"
"6","PAR","16603","19347"
"7","PAR","19347","24732"
"8","PAR","24732","25831"
"9","PAR","25831","27294"
"10","PAR","27294","29838"
"11","PAR","29838","30686"
"12","PAR","30686","34080"
"13","PAR","34080","41122"
"14","PAR","41122","46115"
"15","PAR","46115","53307"
"16","PAR","53307","56296"
"17","INV","56377","59893"
"18","PAR","59000","59893"
"19","PAR","59893","69592"
"20","INV","69592","70589"
"21","PAR","70589","77766"
"22","PAR","77766","80112"
"23","INV","80478","82619"
"24","PAR","82619","83633"
"25","PAR","83633","87839"
"26","PAR","87839","97646"
"27","PAR","97646","110049"
"28","PAR","110049","119558"
"29","PAR","119558","127004"
"30","INV","127004","130096"
"31","PAR","130096","130900"
"32","PAR","130900","134160"
"33","INV","134160","135169"
"34","PAR","134569","135407"
"35","INV","135407","137570"
