"","speaker","begin","end"
"1","PAR","0","6000"
"2","PAR","6000","13355"
"3","PAR","13355","24343"
"4","INV","23500","25500"
"5","PAR","25500","28855"
"6","INV","28855","32701"
"7","INV","32701","35177"
"8","PAR","35177","39056"
"9","INV","39056","41156"
"10","PAR","41156","43052"
"11","INV","43052","44050"
"12","PAR","43456","50200"
"13","INV","49100","50222"
"14","PAR","50222","50774"
"15","INV","50706","51969"
"16","PAR","51000","51969"
"17","PAR","51969","53216"
"18","INV","53216","55593"
"19","INV","55593","56492"
"20","PAR","55890","58611"
"21","PAR","58611","61456"
"22","PAR","61456","63633"
"23","INV","63633","66192"
"24","PAR","63688","67577"
"25","PAR","67577","70268"
"26","INV","70268","71669"
"27","INV","71669","74379"
