"","speaker","begin","end"
"1","INV","0","3985"
"2","INV","3985","7378"
"3","INV","7378","10428"
"4","PAR","10428","17120"
"5","PAR","17120","17727"
"6","PAR","17727","24843"
"7","INV","24843","37649"
"8","INV","37649","40621"
"9","PAR","40621","47593"
"10","PAR","47593","55001"
"11","PAR","55001","66595"
"12","INV","66595","69954"
"13","INV","69954","71334"
"14","PAR","71334","74750"
"15","INV","74750","76867"
"16","PAR","76867","83403"
"17","PAR","83403","96395"
"18","INV","96202","98018"
"19","PAR","98018","103953"
"20","INV","103953","116460"
