"","speaker","begin","end"
"1","INV","0","1600"
"2","INV","1600","2366"
"3","PAR","2366","4235"
"4","INV","4235","5417"
"5","PAR","5296","10397"
"6","PAR","10397","16186"
"7","PAR","16186","20965"
"8","PAR","20965","24404"
"9","PAR","24404","27098"
"10","PAR","27098","34031"
"11","PAR","34031","36900"
"12","PAR","36900","39515"
"13","PAR","39515","44300"
"14","INV","44300","45355"
"15","PAR","45355","48217"
"16","PAR","48217","52238"
"17","PAR","52238","55814"
"18","PAR","55814","59800"
"19","PAR","59800","66490"
