"","speaker","begin","end"
"1","INV","0","2475"
"2","INV","2475","6232"
"3","PAR","6232","13316"
"4","PAR","13316","20997"
"5","PAR","20997","24654"
"6","PAR","24654","29493"
"7","PAR","29493","35300"
"8","PAR","35300","39223"
"9","PAR","39223","43695"
"10","PAR","43695","44959"
"11","PAR","44959","45488"
"12","PAR","45488","50791"
"13","PAR","50591","52387"
"14","PAR","52387","55735"
"15","INV","55735","60000"
"16","INV","60000","61491"
"17","PAR","61000","63079"
"18","PAR","63079","64076"
"19","PAR","64076","65800"
"20","PAR","65800","68100"
"21","PAR","68100","69387"
"22","PAR","69387","72138"
"23","INV","72138","77027"
"24","PAR","77027","79036"
"25","INV","79036","80308"
"26","INV","80308","81831"
"27","INV","81831","83910"
"28","PAR","83910","85190"
"29","PAR","85190","85800"
"30","PAR","85800","89772"
"31","PAR","89772","91531"
"32","PAR","91531","96604"
"33","PAR","96604","103716"
"34","INV","103716","108061"
