"","speaker","begin","end"
"1","INV","0","3038"
"2","PAR","3038","6047"
"3","PAR","6047","13417"
"4","PAR","13417","20203"
"5","PAR","20203","25903"
"6","PAR","25903","28918"
"7","PAR","28918","31828"
"8","PAR","31828","39973"
"9","PAR","39973","48996"
"10","PAR","48996","55998"
"11","PAR","56370","68403"
"12","INV","68403","70940"
"13","INV","70940","73134"
"14","PAR","73134","73700"
"15","PAR","73700","74801"
"16","INV","74801","75580"
"17","PAR","75580","76503"
"18","INV","76503","77053"
"19","PAR","77053","78232"
"20","PAR","78232","79531"
"21","INV","79531","84917"
"22","PAR","84917","86930"
"23","INV","86930","86931"
