"","speaker","begin","end"
"1","INV","0","2600"
"2","PAR","2600","4306"
"3","INV","4306","4844"
"4","PAR","4844","6710"
"5","PAR","6710","14756"
"6","PAR","14756","17848"
"7","PAR","17848","19940"
"8","PAR","19940","35101"
"9","PAR","35101","39364"
"10","PAR","39364","43784"
"11","PAR","43784","65963"
"12","INV","65963","68111"
"13","PAR","68111","74041"
"14","INV","74041","74624"
"15","PAR","74624","87208"
"16","PAR","87208","93250"
"17","INV","93250","98222"
"18","INV","98222","100351"
"19","PAR","100351","104031"
"20","INV","104031","110896"
"21","PAR","110896","112312"
"22","INV","112312","122677"
"23","PAR","122177","123640"
"24","INV","123347","124213"
"25","INV","124213","125013"
