"","speaker","begin","end"
"1","INV","0","1932"
"2","INV","1932","3832"
"3","PAR","3832","12724"
"4","PAR","12724","17727"
"5","PAR","17727","21635"
"6","PAR","21635","25805"
"7","PAR","25805","38099"
"8","PAR","38099","60731"
"9","PAR","60731","69806"
"10","INV","69806","82319"
"11","PAR","82319","101353"
"12","INV","101353","103034"
"13","PAR","102334","104310"
"14","INV","104310","106210"
"15","PAR","106210","109939"
"16","INV","109939","110878"
"17","INV","110878","125088"
"18","PAR","125088","136477"
"19","INV","136477","137308"
"20","PAR","137308","146876"
"21","PAR","146876","152763"
"22","PAR","152763","155685"
"23","INV","155685","158504"
"24","PAR","158504","161678"
"25","INV","161678","163188"
