"","speaker","begin","end"
"1","INV","0","1808"
"2","INV","1808","3609"
"3","PAR","3609","4282"
"4","INV","4282","5096"
"5","PAR","5096","10600"
"6","PAR","10600","13143"
"7","PAR","13143","18888"
"8","INV","18888","19885"
"9","PAR","19885","23542"
"10","PAR","23542","30444"
"11","PAR","30444","36811"
"12","INV","36811","39837"
"13","PAR","39837","45689"
"14","PAR","45689","52722"
"15","PAR","52722","58250"
"16","PAR","58250","64444"
"17","PAR","64444","71010"
"18","INV","71010","71809"
"19","PAR","71809","74738"
"20","INV","74738","76386"
"21","INV","76386","80231"
