"","speaker","begin","end"
"1","INV","0","3425"
"2","PAR","2374","2900"
"3","PAR","2800","3643"
"4","PAR","3643","6519"
"5","PAR","6519","7468"
"6","PAR","7468","8216"
"7","PAR","8216","17228"
"8","PAR","17228","23170"
"9","PAR","23170","24201"
"10","PAR","24201","29160"
"11","INV","29160","29914"
"12","PAR","29914","36575"
"13","INV","36575","37183"
"14","PAR","37183","39237"
"15","PAR","39237","42583"
"16","PAR","42583","46833"
"17","PAR","46833","51100"
"18","INV","51100","51767"
"19","PAR","51767","59672"
"20","PAR","59672","64342"
"21","INV","64342","68545"
"22","PAR","67550","67900"
"23","PAR","67900","69177"
"24","PAR","69177","70718"
"25","PAR","70718","73254"
"26","PAR","73254","75449"
"27","PAR","75449","77063"
"28","PAR","77063","81333"
"29","PAR","81333","83395"
"30","INV","82995","84190"
"31","PAR","84190","96144"
"32","PAR","96144","97950"
"33","PAR","97950","103785"
"34","PAR","103785","109979"
"35","INV","109979","111147"
