"","speaker","begin","end"
"1","INV","0","840"
"2","INV","840","2225"
"3","PAR","2225","3688"
"4","PAR","3688","4359"
"5","PAR","4359","5245"
"6","PAR","5245","9371"
"7","PAR","9371","10740"
"8","PAR","10740","13075"
"9","PAR","13075","18958"
"10","PAR","18958","20887"
"11","PAR","20887","26645"
"12","PAR","26645","33913"
"13","PAR","33913","37617"
"14","PAR","37617","38924"
"15","PAR","38924","41119"
"16","PAR","41119","50364"
"17","INV","50364","52403"
"18","PAR","52403","59436"
"19","PAR","59436","61602"
"20","PAR","61602","63765"
"21","INV","63765","65228"
"22","PAR","65228","66847"
"23","INV","66847","68963"
"24","PAR","68963","71499"
"25","PAR","71499","74394"
"26","PAR","74394","77227"
"27","PAR","77227","83101"
"28","PAR","83101","92222"
"29","PAR","92222","94091"
"30","PAR","94091","106098"
"31","PAR","106098","108000"
"32","PAR","108000","109600"
"33","PAR","109600","113193"
"34","PAR","113193","114911"
"35","PAR","114911","117071"
"36","PAR","117071","123139"
"37","PAR","123139","132555"
"38","INV","132555","133395"
