"","speaker","begin","end"
"1","INV","9000","15614"
"2","INV","15614","23000"
"3","PAR","23000","23300"
"4","INV","23300","24284"
"5","PAR","24084","24829"
"6","INV","24829","26299"
"7","PAR","25700","26945"
"8","INV","26945","27646"
"9","PAR","27646","28435"
"10","PAR","28435","35785"
"11","PAR","35785","36655"
"12","PAR","36655","39848"
"13","PAR","39848","51296"
"14","PAR","51296","54070"
"15","INV","54070","87676"
"16","PAR","87676","89217"
"17","PAR","89217","93092"
"18","INV","93092","95100"
"19","PAR","94500","95740"
"20","INV","95740","96407"
"21","INV","96407","123845"
"22","PAR","123845","124542"
"23","PAR","124542","137665"
