"","speaker","begin","end"
"1","INV","0","1230"
"2","INV","1230","4670"
"3","PAR","4670","6942"
"4","INV","6942","7643"
"5","PAR","7643","10227"
"6","PAR","10227","12141"
"7","PAR","12141","18523"
"8","PAR","18523","36300"
"9","PAR","36300","37217"
"10","PAR","37217","39828"
"11","INV","37300","41088"
"12","PAR","41088","43158"
"13","PAR","43158","47175"
"14","INV","47175","47781"
"15","PAR","47781","56715"
"16","INV","56715","57365"
"17","PAR","57365","58724"
"18","PAR","58724","60721"
"19","INV","60721","61150"
"20","PAR","61150","61568"
"21","PAR","61568","71400"
"22","INV","71400","74508"
"23","INV","74508","77247"
"24","PAR","77247","78213"
"25","PAR","78213","81482"
"26","PAR","81713","88982"
"27","PAR","88982","92220"
"28","PAR","92220","102415"
"29","INV","100804","102855"
"30","PAR","102855","117796"
"31","PAR","117796","123773"
"32","INV","123773","126010"
"33","PAR","126010","126985"
"34","INV","126985","128225"
"35","PAR","128225","129119"
"36","PAR","129119","143728"
"37","INV","143728","144529"
